Name,ScorePct,Score,Price,
Intel Xeon W-1290P @ 3.70GHz,15%,22730,649.40*,
AMD Ryzen 9 PRO 6950H,15%,22698,
AMD Ryzen Threadripper 1920X,15%,22696,209.99,
AMD Ryzen 7 3700X,15%,22682,161.50,
Intel Xeon Platinum P-8124 @ 3.00GHz,15%,22674,
Intel Core i9-10900X @ 3.70GHz,15%,22513,515.00,
Intel Xeon Gold 6132 @ 2.60GHz,15%,22503,252.00,
AMD Ryzen 9 6900HS Creator Edition,15%,22399,
Intel Xeon Gold 5218 @ 2.30GHz,15%,22376,749.00,
Intel Xeon W-2255 @ 3.70GHz,15%,22228,778.00*,
Intel Xeon Gold 6136 @ 3.00GHz,15%,22217,499.00,
AMD Ryzen 7 5700GE,15%,22196,
Intel Xeon Gold 6334 @ 3.60GHz,15%,22160,2751.29*,
AMD Ryzen 9 5900HS Creator Edition,15%,22138,
Apple M1 Max 10 Core 3200 MHz,15%,22138,
AMD Ryzen 7 PRO 5750GE,15%,22135,
AMD Ryzen Threadripper 1920,15%,22066,
AMD Ryzen 9 5900HS,15%,22024,
AMD EPYC 7551,15%,22005,588.00,
AMD EPYC 7281,15%,21981,999.99*,
Intel Xeon E5-2673 v4 @ 2.30GHz,15%,21970,1950.00*,
AMD Ryzen 5 5600X,15%,21943,156.01,
Apple M1 Pro 10 Core 3200 MHz,15%,21928,
AMD Ryzen 7 PRO 6850HS,15%,21910,
AMD Ryzen 5 PRO 5645,15%,21904,
Intel Core i9-9900X @ 3.50GHz,15%,21879,560.29,
Intel Core i9-10910 @ 3.60GHz,15%,21839,
Intel Core i9-11950H @ 2.60GHz,15%,21811,556.00*,
Intel Xeon Gold 6130T @ 2.10GHz,15%,21804,2550.00*,
Intel Core i7-12700T,14%,21725,339.00*,
Apple M2 Pro 10 Core 3480 MHz,14%,21721,
Intel Core i5-12500H,14%,21700,311.00*,
Intel Xeon E5-2697A v4 @ 2.60GHz,14%,21693,
Intel Xeon E7-8891 v3 @ 2.80GHz,14%,21615,6841.00*,
AMD Ryzen 5 5600,14%,21563,123.88,
Intel Xeon E5-2699C v4 @ 2.20GHz,14%,21493,
Intel Xeon Gold 5218T @ 2.10GHz,14%,21433,1349.00*,
Intel Core i5-12600,14%,21393,260.00,
AMD Ryzen 7 5800H,14%,21301,
Intel Core i7-11700F @ 2.50GHz,14%,21190,252.82,
Intel Core i9-7900X @ 3.30GHz,14%,21183,1498.95,
AMD Ryzen 7 5800HS Creator Edition,14%,21166,
Intel Core i9-11900H @ 2.50GHz,14%,21114,546.00*,
Intel Xeon W-2155 @ 3.30GHz,14%,21079,1530.39*,
AMD Ryzen 9 5980HS,14%,21058,
Intel Core i7-7900X @ 3.30GHz,14%,21008,
Intel Core i7-11800H @ 2.30GHz,14%,20995,395.00*,
AMD Ryzen 7 PRO 6850U,14%,20977,
Intel Xeon Silver 4310T @ 2.30GHz,14%,20973,783.99*,
AMD Ryzen 7 PRO 6860Z,14%,20965,
AMD Ryzen 9 5900H,14%,20960,
Intel Xeon Gold 6130 @ 2.10GHz,14%,20956,393.25,
Intel Xeon Gold 6250 @ 3.90GHz,14%,20915,3120.00,
Intel Core i7-11850H @ 2.50GHz,14%,20910,395.00*,
Intel Core i7-1360P,14%,20856,480.00*,
AMD Ryzen 7 PRO 4700G,14%,20848,
Intel Xeon E5-2697R v4 @ 2.30GHz,14%,20843,
Intel Xeon D-2796TE @ 2.00GHz,14%,20806,2184.00*,
AMD EPYC 7262,14%,20795,487.20,
Intel Core i5-12490F,14%,20766,189.99,
Intel Xeon Gold 5315Y @ 3.20GHz,14%,20724,1523.89,
Intel Core i7-12700TE,14%,20712,344.00*,
Intel Core i5-12500E,14%,20699,225.00*,
AMD Ryzen 7 6800U,14%,20673,
AMD Ryzen 7 5800HS,14%,20655,
Intel Xeon Silver 4216 @ 2.10GHz,14%,20613,912.40,
AMD Ryzen 7 PRO 4750G,14%,20559,199.99,
Intel Core i9-10900F @ 2.80GHz,14%,20509,355.95,
Intel Core i7-1280P,14%,20480,482.00*,
AMD EPYC 7451,14%,20471,1399.00*,
Intel Xeon W-2150B @ 3.00GHz,14%,20430,
Intel Xeon E5-4667 v4 @ 2.20GHz,14%,20319,5729.00*,
AMD Ryzen 7 4700GE,13%,20249,
AMD Ryzen 7 4700G,13%,20231,235.22,
Intel Core i9-10900 @ 2.80GHz,13%,20220,445.99,
Intel Xeon W-1290 @ 3.20GHz,13%,20157,588.67*,
Intel Core i7-11700 @ 2.50GHz,13%,20121,254.99,
AMD Ryzen 5 PRO 6650H,13%,20103,
AMD Ryzen 5 PRO 5650G,13%,20070,
Intel Xeon W-1350P @ 4.00GHz,13%,20032,359.99,
Intel Xeon E5-2690 v4 @ 2.60GHz,13%,20001,402.45,
Intel Xeon E5-2699 v3 @ 2.30GHz,13%,19986,549.89,
Intel Core i5-12500,13%,19930,202.00*,
AMD Ryzen 5 5600G,13%,19899,128.54,
Intel Xeon E5-2697 v4 @ 2.30GHz,13%,19836,437.45,
Intel Xeon D-1747NTE @ 2.50GHz,13%,19822,1201.00*,
Intel Xeon Gold 6226 @ 2.70GHz,13%,19810,1300.00,
Intel Xeon E5-2686 v4 @ 2.30GHz,13%,19782,
Intel Core i5-11600K @ 3.90GHz,13%,19754,194.07,
Intel Core i5-12400F,13%,19753,161.01,
Intel Core i5-11600KF @ 3.90GHz,13%,19741,219.95,
Intel Core i5-1250P,13%,19736,
Intel Core i9-10900E @ 2.80GHz,13%,19705,444.00*,
Intel Xeon E5-2682 v4 @ 2.50GHz,13%,19702,
Intel Core i9-9820X @ 3.30GHz,13%,19663,520.00,
Intel Xeon E5-2695 v4 @ 2.10GHz,13%,19656,540.45,
Intel Core i5-1340P,13%,19618,353.00*,
AMD EPYC 7252,13%,19616,374.99,
Intel Core i9-9900KS @ 4.00GHz,13%,19592,886.71,
AMD Ryzen 5 5500,13%,19575,98.00,
Intel Core i5-12400,13%,19556,192.00*,
Intel Xeon Gold 6244 @ 3.60GHz,13%,19500,2970.00*,
Intel Xeon W-2245 @ 3.90GHz,13%,19478,841.75*,
Intel Xeon E-2356G @ 3.20GHz,13%,19473,333.00*,
Intel Xeon Gold 6137 @ 3.90GHz,13%,19365,
Intel Xeon E-2386G @ 3.50GHz,13%,19339,482.00*,
AMD Ryzen 9 4900H,13%,19294,
AMD Ryzen 9 4900HS,13%,19250,
Intel Xeon W-1270P @ 3.80GHz,13%,19245,789.99,
Intel Xeon Silver 4309Y @ 2.80GHz,13%,19227,359.79,
Intel Xeon Gold 6126 @ 2.60GHz,13%,19223,353.77,
Intel Xeon Gold 6138 @ 2.00GHz,13%,19207,425.45,
Intel Core i7-10700K @ 3.80GHz,13%,19095,269.99,
AMD Ryzen 5 6600HS Creator Edition,13%,19087,
AMD Ryzen 5 6600H,13%,19070,
Intel Xeon W-1350 @ 3.30GHz,13%,19015,334.99,
Intel Xeon E5-2676 v4 @ 2.40GHz,13%,18978,
Intel Core i7-10700KF @ 3.80GHz,13%,18951,229.00,
Intel Xeon E5-2697 v3 @ 2.60GHz,13%,18946,184.45,
AMD Ryzen 5 5600GE,13%,18932,
AMD Ryzen 7 7730U,13%,18883,
Intel Xeon E5-2698 v3 @ 2.30GHz,12%,18836,729.95*,
Hygon C86 7255 16-core,12%,18831,
AMD Ryzen 7 4800H,12%,18830,
ARM Neoverse-N1 80 Core 2600 MHz,12%,18823,
Intel Xeon W-1290E @ 3.50GHz,12%,18786,500.00*,
AMD Ryzen 7 5800U,12%,18742,
AMD Ryzen 5 3600XT,12%,18713,132.39,
AMD Ryzen 7 4800HS,12%,18683,
Intel Xeon Gold 6144 @ 3.50GHz,12%,18656,2929.95,
Intel Xeon W-1270E @ 3.40GHz,12%,18635,367.00*,
AMD Ryzen 5 PRO 5650GE,12%,18562,
Intel Core i9-10900TE @ 1.80GHz,12%,18548,444.00*,
AMD Ryzen 7 5825U,12%,18537,
Intel Core i9-9900K @ 3.60GHz,12%,18536,447.00,
Intel Core i9-9900KF @ 3.60GHz,12%,18514,356.33,
AMD Ryzen 7 PRO 4750GE,12%,18497,
Intel Xeon W-1290T @ 1.90GHz,12%,18409,494.00*,
Intel Xeon D-2183IT @ 2.20GHz,12%,18385,1764.00*,
AMD Ryzen Embedded V3C48,12%,18361,
Intel Xeon W-11855M @ 3.20GHz,12%,18351,450.00*,
Intel Core i7-11850HE @ 2.60GHz,12%,18335,440.00*,
Intel Core i9-11900T @ 1.50GHz,12%,18276,439.00*,
AMD Ryzen 7 Extreme Edition,12%,18261,
AMD Ryzen 5 3600X,12%,18260,136.99,
Intel Xeon E7-8880 v3 @ 2.30GHz,12%,18244,133.00*,
Intel Xeon Silver 4214R @ 2.40GHz,12%,18242,599.25,
Intel Core i5-11600 @ 2.80GHz,12%,18196,245.98,
Intel Xeon E5-2686 v3 @ 2.00GHz,12%,18148,
Intel Core i5-12450H,12%,18133,311.00*,
Intel Xeon Gold 5120T @ 2.20GHz,12%,18127,1727.00*,
Intel Core i7-9800X @ 3.80GHz,12%,18113,302.22,
AMD 4700S,12%,18074,
Intel Xeon E5-2687W v4 @ 3.00GHz,12%,18070,417.45,
Intel Xeon D-2187NT @ 2.00GHz,12%,18070,1989.00*,
Intel Xeon W-2145 @ 3.70GHz,12%,18069,1224.67*,
Intel Xeon E5-2680 v4 @ 2.40GHz,12%,17977,256.19,
Intel Xeon E-2378 @ 2.60GHz,12%,17952,386.00*,
Intel Xeon W-1270 @ 3.40GHz,12%,17906,362.00*,
Intel Xeon D-1736NT @ 2.70GHz,12%,17826,
Intel Core i5-11500B @ 3.30GHz,12%,17801,
AMD Ryzen 5 3600,12%,17796,97.47,
AMD Ryzen 5 PRO 3600,12%,17723,
Intel Xeon Gold 5120 @ 2.20GHz,12%,17686,1561.00*,
AMD Ryzen 5 6600U,12%,17680,
AMD Ryzen 7 2700X,12%,17595,163.98,
Intel Xeon E5-2683 v4 @ 2.10GHz,12%,17537,379.00,
Intel Core i5-11500 @ 2.70GHz,12%,17516,238.33,
Intel Core i7-1270P,12%,17470,
AMD Ryzen 7 4980U Microsoft Surface Edition,12%,17469,
Intel Xeon E5-4669 v3 @ 2.10GHz,12%,17430,5400.00*,
Intel Xeon E-2288G @ 3.70GHz,12%,17418,539.00*,
Intel Core i5-1240P,11%,17381,
AMD Ryzen 7 PRO 5850U,11%,17375,
